DEBUG 2018-12-14 10:38:24,936 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Area.ILogAppService' with service name 'app/log'.  :行号0
DEBUG 2018-12-14 10:38:24,938 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IDataConvertAppService' with service name 'app/dataConvert'.  :行号0
DEBUG 2018-12-14 10:38:24,939 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.OperateLogApp.IOperateLogAppService' with service name 'app/operateLog'.  :行号0
DEBUG 2018-12-14 10:38:24,940 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.ServerInterfaceApp.IServerInterfaceAppService' with service name 'app/serverInterface'.  :行号0
DEBUG 2018-12-14 10:38:24,942 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.ISetSysAppService' with service name 'app/setSys'.  :行号0
DEBUG 2018-12-14 10:38:24,943 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.MapApp.IMapAppService' with service name 'app/map'.  :行号0
DEBUG 2018-12-14 10:38:24,944 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.MapMetaDataApp.IMapMetaDataAppService' with service name 'app/mapMetaData'.  :行号0
DEBUG 2018-12-14 10:38:24,945 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.MapReleationApp.IMapReleationAppService' with service name 'app/mapReleation'.  :行号0
DEBUG 2018-12-14 10:38:24,947 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IMultimediaAppService' with service name 'app/multimedia'.  :行号0
DEBUG 2018-12-14 10:38:24,949 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IAttachmentAppService' with service name 'app/attachment'.  :行号0
DEBUG 2018-12-14 10:38:24,951 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IHazardsTypeAppService' with service name 'app/hazardsType'.  :行号0
DEBUG 2018-12-14 10:38:24,952 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IDisasterService' with service name 'app/disaster'.  :行号0
DEBUG 2018-12-14 10:38:24,954 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.ILayerManagerAppService' with service name 'app/layerManager'.  :行号0
